-180 0
-175.83 0.6968
-171.82 0.87267
-169.88 0.77232
-166.46 0.67202
-161.54 0.64081
-157.59 0.66605
-150.13 0.84832
-143.18 0.99292
-139.24 0.99305
-135.31 0.91788
-126.49 0.74873
-113.3 0.39145
-94.803 -0.089280
-81.811 -0.42832
-70.827 -0.73463
-61.969 -0.9072
-52.992 -1.0204
-47.323 -1.0354
-40.827 -0.98809
-34.803 -0.83086
-30.669 -0.69437
-27.244 -0.62022
-24.409 -0.64408
-22.992 -0.72729
-21.929 -0.80753
-19.921 -0.89967
-17.677 -0.89678
-16.732 -0.84631
2.2835 1.0481
3.8189 1.1639
5.4724 1.2351
9      1.35
10     1.37
15     0.95
20     .89
24.252 0.91966
29.331 0.9789
35.591 1.0381
43.031 1.0408
48.701 0.98420
55.551 0.87110
70.787 0.46961
80.472 0.21088
99.537 -0.2413
120.08 -0.74267
130.39 -0.91177
135.79 -0.96807
141.73 -0.90510
151.67 -0.67254
157.60 -0.62212
163.02 -0.65331
170.36 -0.82879
174.37 -0.63409
179.01 -3.4390e-05
